id,usuario_id,accion,modulo,descripcion,registro_id,ip,user_agent,timestamp,tabla_objetivo,registro_etiqueta,datos_antes,datos_despues,campos_modificados,metadata
1,4,CREAR,oficios-recibidos,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-02-14T12:37:00Z,oficios_recibidos,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
2,1,ACTUALIZAR,oficios-realizados,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-08-14T09:08:00Z,cuentas_usuario,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
3,1,ELIMINAR,notas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-08-03T15:32:00Z,entregas_suministro,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
4,6,CREAR,cuentas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-01-30T07:20:00Z,oficios_recibidos,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
5,5,ACTUALIZAR,suministro-toners-hojas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-07-12T18:47:00Z,cuentas_usuario,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
6,5,ELIMINAR,historico-reubicaciones,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-08-08T08:50:00Z,entregas_suministro,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
7,8,CREAR,licenciamientos,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-07-31T16:42:00Z,oficios_recibidos,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
8,8,ACTUALIZAR,oficios-recibidos,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-01-01T15:56:00Z,cuentas_usuario,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
9,7,ELIMINAR,oficios-realizados,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-08-09T08:11:00Z,entregas_suministro,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
10,8,CREAR,notas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-06-06T16:48:00Z,oficios_recibidos,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
